"budget","popularity","vote_average","vote_count","revenue","runtime","year"
3e+07,3.845231,5.9,56,74787599,132,1991
4e+07,19.833664,5,336,87840042,96,1997
2.3e+07,7.050951,5.9,52,51751835,114,2012
4500000,5.224593,6.9,89,10400000,116,1956
3e+07,5.259585,4,72,51751835,100,1999
2.3e+07,12.283025,5.8,221,51751835,118,1998
9e+07,19.836124,5.2,376,51751835,104,1997
2.4e+07,27.326466,6.1,721,42105111,102,2008
1.2e+07,8.290636,6.6,154,3148182,110,2008
6e+06,19.331884,6,316,31081,89,2012
1.8e+07,4.504377,6.7,72,24911670,121,1970
4.5e+07,14.566664,4.2,135,10667893,82,1999
3800000,21.826888,7.9,927,16800000,115,2012
1.2e+07,2.238646,5.8,32,21001563,117,1999
1e+07,17.663353,7,1068,21587700,130,2013
5.5e+07,12.669778,5.3,123,6416302,96,2002
1.1e+07,19.231507,7.3,384,64088552,120,1992
2.3e+07,3.312385,4.5,38,51751835,97,2000
9e+07,5.762037,4.9,109,14828081,91,2000
4e+07,3.415534,5,40,36037909,94,2000
7e+07,61.245957,7.6,1436,23159305,86,1999
1e+07,8.902102,6.6,105,3193102,89,1999
5e+07,9.622345,6.3,88,51751835,137,1999
7500000,0.086731,5.8,2,51751835,101,2012
4e+07,3.321949,4.9,71,51751835,107,2000
2.3e+07,14.837288,6.1,203,51751835,118,2000
2.3e+07,13.758526,6,216,51751835,125,1994
25,4.88794,7,59,13,145,1999
7e+07,19.439386,6.2,278,177841558,105,1999
1530000,27.36562,7.2,664,7267585,81,1998
5e+07,20.825781,7.2,396,73956241,146,1999
1.7e+07,9.832326,5.5,308,65535067,88,1999
3.5e+07,5.926966,6.1,81,51751835,140,1992
2.3e+07,11.689337,5.5,119,51751835,94,1993
1e+07,8.932837,6.4,198,50752337,101,1992
6e+07,2.275331,5.4,37,51751835,105,2000
2.2e+07,12.893219,5.8,103,413454,97,2007
2e+07,7.499639,6,100,33526835,85,2002
2e+07,17.842246,6.2,398,7563728,107,1995
2.5e+07,18.896239,6,414,40452643,103,2007
3.4e+07,9.133747,7,169,32255440,139,1993
2.3e+07,15.085981,7.2,212,27281507,85,1992
2.8e+07,18.650748,6.4,471,39514713,96,1993
2.2e+07,5.609755,6.8,61,51751835,131,1993
2e+07,3.581906,6.2,33,305070,107,1994
63600000,4.494788,4.8,145,19412993,102,2000
4.3e+07,5.418921,6,208,51751835,103,2000
1.1e+07,9.337388,6.4,135,59827328,98,2000
9e+06,3.269459,4.9,70,51751835,91,2000
1500000,14.504326,5.1,242,1165882,101,2012
8e+06,6.39503,6.9,99,23563727,116,2005
9.4e+07,8.468586,4.5,179,54744738,116,2001
4.5e+07,10.731574,5.9,150,53854588,135,1996
2.4e+07,3.572339,5.9,111,51751835,108,2000
8.5e+07,9.895061,5.1,313,183611771,100,2000
4.5e+07,42.57877,6,1175,73762516,105,2008
3.7e+07,14.353279,5.6,330,100076342,96,2008
2.3e+07,0.838938,6.4,6,51751835,96,1999
1e+07,6.736274,6.4,86,10571408,98,1999
2.3e+07,1.537859,4.1,35,10,91,1999
9.5e+07,37.054554,7,858,76432727,89,2000
1800000,15.978136,7.4,422,41158757,104,1971
6500000,12.524953,7,190,12376563,131,1971
3e+07,33.385429,5.9,856,114663461,89,2009
25100000,10.445391,6.1,143,29506464,131,2008
5.5e+07,47.845589,6.7,1457,346079773,81,1995
5e+07,7.44268,5.5,108,10382407,135,1995
3.8e+07,10.047579,6.3,86,10300000,129,1996
1.8e+07,11.238522,4.9,147,51751835,81,1996
3.8e+07,10.794175,6.7,275,34416893,140,1991
1e+08,46.727941,6.8,1129,100138851,91,1996
7e+07,8.37378,4.3,97,19924033,91,2002
7.5e+07,47.094369,5.8,1557,367275019,90,2004
3800000,3.667372,6.5,59,28200000,97,1999
3.1e+07,19.258041,7,462,68106245,118,2000
1.8e+07,6.961736,6.8,90,17200925,115,2000
2e+07,7.553773,5.4,62,51751835,98,1999
1.5e+07,6.857923,6.9,155,33771174,120,2000
127500000,26.548594,6.2,542,354248063,82,2000
2.3e+07,11.423533,6.4,155,51751835,94,2000
1.6e+07,9.119797,5.4,103,20627372,94,2000
2.8e+07,6.756771,4.6,148,33000337,99,2000
9e+06,27.600843,6.3,581,44196684,87,1988
5e+07,12.46525,6.4,236,7.5e+07,109,1996
2.3e+07,18.251129,4.9,366,51751835,82,2003
6e+07,14.113066,6,226,61347797,97,2004
7.5e+07,19.708731,6.7,521,114660784,138,2002
2.5e+07,39.784026,6.3,824,30411183,108,2004
7e+07,14.244518,5.9,241,32287044,125,2002
1.8e+07,50.009408,7.3,2093,98235548,107,1987
5.5e+07,22.573237,5.4,496,51751835,92,1997
4.1e+07,14.653718,5.3,281,51751835,88,2003
1.2e+07,10.297189,6.2,137,75781642,102,2002
2.3e+07,3.115754,5.4,43,51751835,81,2001
12716953,7.077505,6.3,128,18814720,113,1997
2.5e+07,12.837116,5.8,236,56489558,101,2003
1.7e+07,36.423717,6.9,2320,129042871,97,2004
2.3e+07,10.292864,4.3,203,51751835,89,2003
1.7e+07,9.583578,6.8,59,1569918,98,2003
5.5e+07,8.634954,6,189,34234008,94,2003
3500000,25.5748,7,503,28215918,91,1995
3e+07,25.996219,7.4,821,136706683,113,2000
6.5e+07,8.680334,5.7,135,51751835,103,2000
2.3e+07,5.214408,5,120,51751835,98,2000
1e+06,3.322721,5.9,43,10037390,107,1999
1.1e+07,7.063053,4.9,74,23430766,95,2001
4e+07,24.313684,7,432,55707411,122,2000
2e+06,5.261065,6.3,86,390659,104,1985
3.7e+07,11.374306,5.1,221,37962774,110,1986
9e+07,40.597344,5.5,1048,201596308,113,2008
2.3e+07,23.839127,5.9,512,185991646,90,1998
5600000,22.341462,6.4,489,18469680,85,2009
1.5e+07,24.898687,7,546,43848069,126,1987
9e+07,67.427755,7.6,2008,304320254,88,1998
1.2e+07,29.072964,5.3,631,15008161,107,2013
2500000,12.030456,5,229,14400000,98,1982
2e+07,8.351385,5.4,183,132675402,105,2003
3e+06,10.757539,7.4,194,2807390,139,1998
4.6e+07,12.971122,6.2,232,100860818,117,1996
9500000,5.346205,4.9,34,51751835,87,2015
3.3e+07,7.339908,4.9,110,51751835,96,2000
1.3e+07,6.130096,6.6,96,16929123,99,2001
2.2e+07,3.809131,3.4,38,5271666,104,2001
1e+07,53.595686,7.7,2912,83557872,103,2000
9e+06,4.641006,7.4,71,51751835,137,1989
1500000,13.788054,6.9,226,11098131,81,2005
6e+07,18.106021,5.6,506,164433867,92,2003
4e+07,9.842771,4.8,139,51751835,99,2004
13500000,9.982885,6.9,144,29027914,107,2002
8e+07,16.715631,5.6,297,68514844,90,2003
4e+07,7.360793,4.7,119,46546197,84,2004
3.2e+07,16.901954,6.4,987,173398518,97,2003
1.8e+07,8.700565,5.5,139,70687344,136,1982
2.3e+07,11.199544,4.9,161,51751835,86,2003
21500000,12.819447,7,239,51751835,117,1999
4.5e+07,17.746719,6.4,278,117615211,119,1994
1.45e+08,10.660441,5.8,106,25819961,137,2004
8e+06,26.356697,7.2,561,4.3e+07,111,1979
2.3e+07,7.057765,5.8,368,51751835,105,2003
2.3e+07,8.945081,6.2,149,51751835,108,2003
2e+07,7.698075,5.9,179,51751835,100,2004
2.3e+07,11.706309,6.4,119,51751835,120,2006
2.3e+07,9.87419,6.4,126,51751835,97,2003
3.2e+07,9.976428,6.7,89,51751835,101,2003
2.3e+07,7.377587,5.6,142,51751835,101,2007
9e+07,16.302378,5.2,466,182290266,99,2003
2e+06,9.67299,6.7,129,22179430,108,2007
16500000,10.74648,6,236,13620075,108,2007
4e+07,19.574774,6,394,84601681,101,2008
1.9e+07,8.584398,5.3,214,69631118,95,2004
2.3e+07,12.18838,6,102,51751835,109,1980
2.3e+07,21.549232,5.3,483,51751835,98,2002
2.3e+07,2.894154,6.4,62,51751835,103,2005
3800000,17.234745,7.7,381,23689877,121,1976
2.5e+07,12.113235,6.6,384,38748395,94,1986
1.6e+07,21.380635,5.9,402,51751835,91,2006
1.3e+07,35.522027,5.7,737,48065672,93,2013
5e+07,19.226763,6.2,286,42792561,98,2003
6.5e+07,2.952595,4.9,52,51751835,105,2000
5e+07,44.478043,6.7,1659,122915111,115,2013
2.3e+07,3.199904,6.6,50,51751835,106,1976
4.9e+07,21.746245,5.7,437,72700000,87,2001
2e+07,55.964605,6.7,1778,46089287,109,2013
1.5e+07,8.884405,6.5,129,51751835,80,2008
4.5e+07,14.513305,4.9,256,20350754,128,1995
9e+06,12.268143,6.6,269,2.5e+07,119,1976
3.5e+07,11.897925,6.3,177,51751835,90,1997
7e+07,13.543053,4.9,410,176104344,87,2001
4600000,3.531877,5.7,60,51751835,97,2007
3.5e+07,13.932203,5.7,254,51751835,123,2001
2e+06,0.11615,8,1,7,92,1999
2.3e+07,0.706355,5.9,18,51751835,103,2006
2.5e+07,10.115011,5.2,101,51702483,100,1996
1.2e+08,51.548589,6.7,1224,186053725,95,2001
2.3e+07,11.183197,6.3,325,36642838,97,2001
3.7e+07,4.131546,5.8,52,6482195,118,1997
8e+06,5.93923,6.6,148,8279017,92,2000
13500000,7.261196,6.8,128,7060876,124,2000
5e+07,12.601306,5.3,110,79958599,101,2001
2.2e+07,12.887673,5.4,154,19351569,90,2001
8e+06,12.439495,7.1,111,41400000,101,2003
2.3e+07,8.864368,5.3,180,51751835,85,2008
1e+07,10.892398,6.5,249,85300000,106,1981
5e+05,8.650779,6.3,152,150277,93,2002
2600000,46.007991,6.9,1355,84300000,88,1940
1.6e+07,19.890428,6.8,378,18564088,100,1999
2.5e+07,35.022029,5,712,71009334,117,2013
1.5e+07,52.731379,7.8,1588,19629760,109,1982
2.3e+07,2.597665,5.6,33,51751835,105,2005
2.8e+07,11.859396,5,284,58795814,102,2003
4e+06,14.961629,7.3,267,14237000,91,1985
2.2e+07,1.322528,5.8,82,51751835,100,2003
2.3e+07,1.229667,5.7,10,51751835,104,2003
2.3e+07,12.309718,6.4,172,51751835,113,2003
4e+07,31.884559,6.8,787,95020213,128,2013
3.2e+07,38.21708,6.3,2359,126041322,107,2013
2e+07,8.237336,5.9,88,16549477,110,2013
8e+07,45.589568,5.8,1155,246984278,100,2013
3e+07,48.237797,6.4,1323,63372757,106,2013
5.5e+07,52.786917,7.6,2454,9.5e+07,134,2013
1.7e+07,33.912116,6.4,1723,97542952,91,2013
3.5e+07,34.005726,5.6,1645,173965010,111,2013
1.2e+07,10.536092,4.6,89,23,119,2003
5e+07,38.125008,6,923,173649015,119,2013
7.8e+07,41.247402,6.4,915,248384621,95,2013
4200000,16.536374,6.1,1000,51751835,98,2006
6e+07,40.721373,5.6,984,60052138,124,2013
2.2e+07,26.071644,7.2,530,92542418,132,2001
2e+06,16.668854,5.5,224,14400000,100,2012
3e+07,2.981047,6.6,69,51751835,110,2002
17700000,15.976335,5.5,242,30987695,91,2001
2.3e+07,7.315935,6.7,78,51751835,86,1976
1500000,11.064228,6.2,251,373967,100,2001
250000,6.978907,4.1,75,56825,99,2013
2.3e+07,3.408955,5.8,38,51751835,90,2003
1.5e+07,23.980329,5.9,479,51053787,80,2005
2.3e+07,5.904126,5,114,51751835,96,2001
1.3e+07,13.525704,5.7,151,51751835,88,2002
5e+06,9.483717,5,170,15116634,88,1995
1.6e+07,9.18885,5.9,137,68411275,93,2000
6e+07,18.735024,5,352,93375151,87,2001
2.3e+07,9.423866,7.2,108,51751835,109,2002
1.2e+08,27.990284,5.4,613,169956806,78,2002
1.4e+07,16.742972,6.6,291,320145693,119,1987
1e+07,34.224204,6.4,742,57500000,90,1985
6.5e+07,16.865782,6.1,352,117758500,93,1999
3.5e+07,9.011729,6.9,161,51751835,111,2000
4e+07,26.516624,6,699,190212113,98,2003
4e+07,14.398356,5.4,415,51751835,95,1994
4e+06,19.107285,6.7,376,9304609,104,2002
6e+07,12.621769,5.8,130,33956608,110,1997
6500000,8.526635,6.8,142,12633747,105,2002
2e+06,20.331593,6.7,339,4601043,100,2003
2.3e+07,22.644275,5.4,500,181466833,93,2004
2.3e+07,10.0403,5.5,185,51751835,91,2004
8e+07,15.761384,4.7,183,78000586,114,2004
1.2e+07,6.803763,6.4,110,51751835,122,1981
6e+06,24.351305,6.9,703,50244700,99,1981
6500000,11.208769,6.8,157,31899000,105,1980
2.9e+07,55.109138,7.7,3067,115603229,123,2004
7e+06,3.120016,6.7,41,1310673,170,2013
39200000,64.238688,6.7,2854,86758912,126,2013
8e+06,3.03091,6.7,77,3432342,99,2003
7e+06,14.672151,7,201,8373585,164,1988
2.3e+07,6.340135,5.6,112,51751835,102,2002
2.5e+07,12.10235,4.7,114,30114487,102,2004
2.3e+07,3.621837,6,67,51751835,111,1996
2.3e+07,4.146752,5.8,75,16017403,95,2001
4e+07,6.420434,5.4,134,70100000,117,1992
2.3e+07,0.289433,4.3,4,51751835,98,1983
2600000,22.793929,7.2,609,119500000,93,1974
7.2e+07,11.215702,6.6,188,37317558,152,2001
2.2e+07,13.786075,4.6,304,84772742,84,2001
4.8e+07,7.226115,6.5,103,35743308,132,2001
16500000,12.102725,7,199,16942795,126,2003
2.5e+07,18.228538,6.1,440,122644820,101,2005
2.5e+07,70.105981,8,2948,65884703,170,1983
1.1e+07,4.131918,6.8,80,51751835,125,2004
1.7e+07,20.786616,7.4,352,72070731,170,1964
1.6e+07,18.790221,6.1,291,318982,100,2013
6e+07,10.99991,6.2,207,74541707,115,2004
6e+05,4.859873,6.8,97,4e+06,99,1999
4e+07,30.002907,6,697,95149435,113,2004
1.5e+07,7.424798,5.1,221,29331068,89,2004
2.3e+07,17.943945,5.9,278,51751835,111,2004
2.8e+07,6.201404,5.6,104,30016165,90,2004
8e+06,13.715715,5.6,265,51751835,91,2008
1.5e+07,22.838834,7.1,410,61399552,98,1983
2.3e+07,8.426589,6.6,246,51751835,110,2009
6500000,6.787967,7.1,154,22889018,124,2006
2.3e+07,12.467267,6.7,144,51751835,138,2004
25485000,9.795985,6.9,147,29548291,144,1970
6.5e+07,8.629665,6.7,186,43545364,124,2006
4e+07,17.659032,6.2,554,145896422,96,2007
2.3e+07,10.639916,7,164,76657000,97,1979
2.3e+07,0.408073,3.7,3,51751835,87,1998
2.3e+07,6.799314,6.6,131,51751835,118,2004
1.3e+07,16.681567,5.8,308,35763605,84,1990
2.3e+07,7.744166,7.4,100,51751835,105,2003
2.3e+07,6.379933,5.9,123,51751835,104,1988
2.3e+07,14.045887,7.6,138,13885802,106,2003
2.3e+07,31.719463,5.6,648,253625427,100,2007
1.2e+07,21.933822,7.3,323,89800000,172,1970
3e+07,9.301562,6.7,157,13001257,114,2004
5e+07,21.312186,5.8,274,16671505,99,1994
8500000,2.62082,5.1,107,5001655,104,2004
1200000,6.920873,6.9,149,7e+06,99,1955
8e+07,16.681269,5.8,378,159212469,115,1996
3e+06,4.682881,6.5,95,51751835,110,1996
2.3e+07,4.052219,6.4,25,4291965,101,2006
2.3e+07,11.940711,6,418,51751835,118,2001
2e+07,9.855474,4.9,199,70992898,97,2004
4e+07,74.440708,8,4391,109676311,130,2006
860000,3.703005,6.6,51,2451545,97,1985
1e+06,0.341461,4.7,5,51751835,114,2012
1.9e+07,25.28132,6.1,713,70067909,95,2004
1.2e+07,12.653831,4.9,287,24829644,87,2004
7e+07,14.486311,6.6,284,154937680,134,2006
8.5e+07,58.57976,6.5,1527,160388063,120,2008
3e+06,7.961559,6.9,156,20966644,117,1985
7e+07,10.930537,5.5,179,19870567,97,1998
6e+07,18.676291,5,371,50650079,90,2008
9e+06,18.514292,6.6,693,23936908,88,2004
2.5e+07,24.356483,6.4,711,122489822,97,2005
1.1e+07,16.856231,5.1,272,34872033,89,1991
4e+07,21.661028,6.7,354,107458785,128,1992
2.8e+07,37.729059,6.9,823,97594140,115,2013
1e+06,6.532855,6.4,161,17985893,91,1981
2e+06,5.941852,6.7,165,11833696,82,1971
3.8e+07,3.426555,5.7,80,17380126,118,1996
7500000,2.226412,5.8,26,51751835,109,1984
3.1e+07,7.06762,6.4,131,24185781,101,2001
5.5e+07,41.472404,7.5,2039,168167691,123,2008
8e+07,33.691694,6.5,1344,214104620,140,2009
2.2e+07,17.772518,6,301,35424826,108,2009
1e+07,16.78512,6.9,311,20766616,103,1983
7e+06,9.887662,5.8,95,51751835,103,1989
4.6e+07,0.146783,6.5,2,5200000,140,1981
1.7e+07,19.045146,5.5,299,63102666,104,2003
5.5e+07,13.191829,6,254,51751835,97,1999
2.3e+07,6.2464,6.4,72,51751835,118,2005
5e+06,9.302349,5.9,209,17768757,88,1988
5.6e+07,23.438398,6,381,57223890,86,2004
4.5e+07,11.095914,5.9,134,51751835,96,1995
5e+06,8.008844,5.2,183,11642254,96,1989
3.5e+07,26.595983,7.3,453,75395048,131,2002
3500000,8.406025,5.7,70,9482579,96,1996
4e+07,3.296933,5.2,56,27053815,104,2001
6.8e+07,22.572323,6.7,423,71069884,124,2001
8e+07,14.298297,5.7,166,51751835,122,1999
7.5e+07,10.605084,5,166,51142659,116,2003
1.9e+07,13.664614,5.5,209,40846082,93,1999
2.3e+07,7.829295,7,130,51751835,98,1994
3705538,8.839651,6.9,176,62548947,112,1992
1e+06,9.115486,6.6,179,9138338,98,2012
2.2e+07,16.234053,6.3,489,189833357,97,1994
1.6e+07,23.423082,5.5,431,66468332,89,2001
4e+07,7.832337,5.6,135,30199105,117,2000
1.4e+07,45.473484,7,1746,4.63e+08,119,1990
3e+07,19.106154,6.4,330,30536013,135,2005
2.3e+07,7.667888,6.3,47,51751835,98,2006
1.7e+07,17.062117,4.1,318,19300000,90,1987
6.5e+07,15.858629,6.5,314,89456761,120,1996
1.7e+07,32.746486,7.3,2247,115350426,112,2012
1650000,6.915201,7.2,133,30500000,118,1953
3e+07,9.965073,5.9,182,50451307,103,2005
4.5e+07,21.118196,6.7,670,60222298,128,2010
1.3e+07,11.045593,4.5,228,37664855,94,2002
2.3e+07,5.870319,6.9,103,51751835,88,1995
5e+07,12.050755,5.1,542,66002004,101,2005
5e+06,35.108498,5.9,858,38275483,92,2002
2.2e+07,10.259461,4.7,225,22400154,83,2005
7.5e+07,8.41856,5.4,113,54249294,89,2001
1.8e+07,5.706767,7.2,120,51751835,125,2001
2e+07,6.377308,5.5,48,51751835,100,2002
3.5e+07,11.041659,5.8,550,86369815,100,2005
2.6e+07,8.802626,6.2,455,57891803,85,2005
4e+06,1.390659,4.1,8,51751835,78,2012
2.3e+07,10.698929,5.5,252,51751835,102,2001
1.8e+07,10.991281,7,104,676698,103,2002
2.3e+07,15.913783,5.1,287,51751835,95,2001
1.1e+07,11.220643,4.5,291,16951798,91,2001
1.5e+07,11.375032,5.8,156,35007180,106,2000
1.5e+07,11.379652,5.9,173,17080167,114,1984
2.3e+07,16.87784,7.2,328,51751835,122,2008
1.5e+07,49.230089,7.8,2926,46189568,117,1998
1e+07,9.525626,6.4,137,8801940,114,1984
2.6e+07,10.981038,7.1,146,51751835,127,1985
35866397,3.75074,7,49,20217080,98,2001
6e+07,10.004564,5.4,222,35431113,103,1995
3.5e+07,10.032626,5.6,143,31755742,113,1979
1e+05,7.447714,5.5,92,95000,86,2012
3e+07,18.256028,6,394,180622424,108,2002
2.3e+07,3.890223,4.3,212,51751835,90,2000
2.3e+07,9.306253,3.4,106,51751835,98,2002
4e+06,2.930058,6.8,72,8200000,124,1961
2.7e+07,17.329269,6.7,244,25023434,113,1996
8e+07,55.659988,7.1,1314,145771527,85,2002
9e+06,18.289303,7.5,676,17096053,93,1998
2.3e+07,11.946898,4.1,178,126247,83,1994
4e+07,23.088571,6.2,511,54682547,110,1998
4.2e+07,14.046705,6.1,184,63781810,115,2002
2e+06,10.664202,7,200,18344729,89,1973
4300000,5.643023,6.2,66,51751835,98,1982
4e+07,17.61292,5.4,371,138259062,99,2006
9400000,14.562991,7,140,6e+07,163,1963
4638783,4.495256,7.2,65,1.1e+07,106,1973
6e+06,12.434688,6.6,74,51751835,110,1979
1.4e+07,11.543363,4.5,133,30749142,118,1977
2.3e+07,1.031142,5.3,3,51751835,100,1997
8800000,3.789485,5.9,62,51751835,90,2004
1.3e+07,6.170139,6.4,135,7820688,95,1994
1.4e+07,14.730796,6.4,291,18090181,112,1994
6e+05,10.861167,6.4,66,51751835,83,1977
1.5e+07,30.669913,7.3,1105,85306374,124,2005
5e+06,3.792015,6.2,37,782102,90,2007
1.2e+07,6.044161,6.5,330,21133087,99,1999
5.5e+07,39.882276,7,883,259207227,95,2014
5e+07,22.442241,7.3,480,38955598,130,2003
8e+07,19.375768,5.2,369,91188905,113,1999
8250000,7.973109,7,63,3e+07,171,1951
3.5e+07,8.737058,6.3,245,40263020,112,1999
2e+06,13.223111,6.6,215,18016290,88,1972
2.3e+07,6.618149,5.5,73,16123851,141,2004
2.4e+07,24.70166,6.6,541,87055349,91,2003
3.2e+07,13.590677,5.2,221,97918663,95,2005
3.5e+07,3.74263,5.5,225,68915888,105,2005
2.5e+07,25.785925,6.9,1055,135330182,143,2006
1.8e+07,13.628601,7.3,236,1.2e+07,108,1981
3e+07,11.120167,5.8,140,58405313,98,2005
1.5e+07,19.113278,6.8,338,123384128,103,2006
2.3e+07,9.572705,7.4,133,15,140,2004
2.3e+07,0.142255,7,1,51751835,100,2006
2.2e+07,13.960945,7.2,212,17709155,116,2005
3730500,6.938854,5.7,109,6294161,112,2012
8e+07,23.496054,6,1051,230685453,110,2008
